alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Haricot flageolet, appertisé, égouttés;-;-;6,1;12,2;0,79;0,2;< 0,5;0
Lentille, cuisinée, appertisée, égouttée;-;-;6,28;11,8;0,64;0,42;< 0,25;0
Haricot blanc, appertisé, égoutté;-;-;6,57;10,9;0,4;0,52;-;0
Haricot flageolet, bouilli/cuit à l'eau;469;112;6,75;12;1,1;0,3;< 0,2;0
Haricot rouge, appertisé, égoutté;-;-;8,31;13;0,97;1;-;0
Haricot mungo, bouilli/cuit à l'eau;-;-;7,54;11,9;0,55;2,01;-;0
Pois chiche, appertisé, égoutté;-;-;6,74;15;2,68;0,5;-;0
Haricot flageolet, vert, bouilli/cuit à l'eau;-;-;5,63;15,8;1,1;0,5;-;0
Fève, pelée, surgelée, cuite à l'eau;-;-;6,4;9;0,5;< 0,2;< 0,2;0
Fève, surgelée, bouillie/cuite à l'eau;-;-;5,6;7,4;< 0,5;1;< 0,2;0
Lentille verte, bouillie/cuite à l'eau;535;127;10,1;16,2;0,58;0,2;< 0,2;0
Lentille blonde, bouillie/cuite à l'eau;-;-;9,7;16,3;0,7;0,4;< 0,2;0
Lentille corail, bouillie/cuite à l'eau;-;-;10,6;15;0,5;0,26;< 0,2;0
Légume sec, cuit (aliment moyen);;;8,38;12,1;0,62;1,31;;0
Fève à écosser, fraîche;-;-;6,76;4,2;0,67;0,37;-;0
Lentille, germée;-;-;8,86;19;0,58;-;-;0
Lupin, graine crue;-;-;36,2;21,5;9,74;-;-;0
Fève, fraîche, surgelée;-;-;7,5;7,95;0,22;2,15;-;0
Haricot flageolet, surgelé;-;-;9,32;25,6;0,7;0,4;-;0
Fève, pelée, surgelée, crue;-;-;14,9;14,9;0,3;2;-;0
Haricot blanc, sec;-;-;19,1;43,9;1,78;1,92;-;0
Lentille, sèche;-;-;25,4;50,6;1,34;1,25;0;0
Pois cassé, sec;-;-;22,8;52;1,44;2,75;0,15;0
Pois chiche, sec;-;-;20,5;47,5;5,85;6,5;< 0,2;0
Fève, sèche;-;-;26,1;33,3;1,53;5,7;-;0
Haricot rouge, sec;-;-;22,5;46,1;1,06;2,1;-;0
Haricot mungo, sec;-;-;24,5;47,6;1,42;-;-;0
Lentille corail, sèche;-;-;27,7;44,9;0,8;1,29;< 0,2;0
Haricot flageolet, vert, sec;-;-;19,1;42,1;2,6;-;-;0
Lentille verte, sèche;-;-;25,1;44,5;1,8;1,1;< 0,2;0
Lentille blonde, sèche;-;-;26,1;48,3;1,9;1,4;< 0,2;0
Abricot, dénoyauté, cru;194;45,9;0,81;9,01;< 0,5;6,7;2;0
Ananas, pulpe, cru;231;54,4;< 0,5;11,7;< 0,5;10,5;1,8;0
Banane, pulpe, crue;383;90,5;1,06;19,7;< 0,5;15,6;3,9;0
Cassis, cru;-;-;1,33;9,68;0,86;9,68;4,24;0
Cerise, dénoyautée, crue;235;55,7;0,81;13;< 0,3;10;5,4;0
Citron, pulpe, cru;118;27,6;< 0,5;1,56;< 0,5;0,8;0,4;0
Coing, cru;-;-;0,51;13,4;0,1;6,3;-;0
Figue, crue;293;69,4;1,19;13,5;< 0,5;12,2;6;0
Fraise, crue;162;38,6;0,63;6,03;< 0,5;5,6;2,3;0
Framboise, crue;206;49,2;1,19;5,83;0,8;5,4;2,1;0
Fruit de la passion ou maracudja, pulpe et pépins, cru;425;101;2,13;10,9;3;8,5;2,4;0
Grenade, pulpe et pépins, crue;340;80,6;1,44;14,3;1,2;13,3;6,2;0
Groseille, crue;289;68,5;1,56;7,06;0,7;6,63;2,77;0
Groseille à maquereau, crue;-;-;0,75;4,88;0,59;-;-;0
Kiwi, pulpe et graines, cru;255;60,5;0,88;11;0,6;8,9;3,8;0
Litchi, pulpe, cru;344;81;1,13;16,1;< 0,5;15,7;7,6;0
Clémentine ou Mandarine, pulpe, crue;200;47,3;0,81;9,17;< 0,5;8,6;1,4;0
Mangue, pulpe, crue;314;73,9;0,63;14,3;< 0,5;12,9;1;0
Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;265;62,7;1,13;14,8;< 0,5;10,6;1,49;0
Mirabelle, crue;325;76,9;0,63;18;< 0,5;13,3;3,8;0
Myrtille, crue;244;57,7;0,87;10,6;0,33;9,96;4,88;0
Mûre (de ronce), crue;198;47,3;1,13;6,53;0,7;6,1;2,99;0
Nectarine ou brugnon, pulpe et peau, crue;-;-;1,16;8,9;0,31;7,89;1,57;0
Orange, pulpe, crue;192;45,5;0,75;8,03;< 0,5;7,6;2;0
Papaye, pulpe, crue;178;42,2;0,75;8,53;< 0,3;8,1;4;0
Pastèque, pulpe, crue;165;38,9;0,69;8,33;< 0,5;7,9;1,8;0
Poire, pulpe et peau, crue;-;-;0,49;10,9;0,27;9,01;2;0
Pomme, pulpe et peau, crue;-;-;0,25;11,6;0,25;9,35;2,01;0
Pomelo (dit Pamplemousse), pulpe, cru;169;39,8;< 0,5;8,02;< 0,5;6,6;1,9;0
Prune Reine-Claude, crue;301;71,3;0,94;16,4;< 0,5;10,4;4;0
Pêche, pulpe et peau, crue;-;-;1,08;9;0,33;8,16;1,39;0
Raisin blanc, à gros grain (type Italia ou Dattier), cru;311;73,4;0,75;16,6;< 0,5;15,5;7;0
Raisin noir, cru;-;-;0,63;15,6;0,4;15;7,4;0
Rhubarbe, tige, crue;-;-;0,78;1,47;0,23;1,47;0,8;0
Pomme, pulpe, crue;-;-;0,27;10,7;0,13;10,1;3,25;0
Carambole, pulpe, crue;-;-;1,15;3,9;0,32;3,9;-;0
Anone ou chérimole, pulpe, crue;-;-;1,72;15,4;0,64;12,9;5,93;0
Feijoa, pulpe, crue;-;-;0,71;8,2;0,42;8,2;2,32;0
Figue de Barbarie, pulpe et graines, crue;-;-;0,37;6;0,31;1,02;0,44;0
Kaki, pulpe, cru;290;68,6;0,88;14,3;< 0,3;13,9;7,5;0
Citron vert ou Lime, pulpe, cru;170;40,2;1,13;3,14;< 0,3;2,1;0,8;0
Mûre noire (du mûrier), crue;-;-;1,44;8,1;0,39;8,1;-;0
Ramboutan, pulpe, crue;-;-;0,65;20;0,21;-;-;0
Tamarin, fruit mûr, pulpe, cru;-;-;2,65;57,4;0,6;38,8;-;0
Goyave, pulpe, crue;-;-;1,59;9,02;0,73;8,92;1,3;0
Pomme Canada, pulpe, crue;-;-;0,4;11,6;0,1;11;-;0
Pomme Golden, pulpe, crue;232;54,9;< 0,5;11,7;< 0,5;11,3;1,6;0
Prune, crue;-;-;0,66;9,92;0,29;9,92;4,7;0
Raisin Chasselas, cru;335;79,1;0,75;16,9;0,5;16,5;8,1;0
Poire, pulpe, crue;-;-;0,3;10,4;0,1;10,4;-;0
Griotte, crue;-;-;1,1;10,5;0,3;8,49;4,18;0
Raisin, cru;-;-;0,72;15,7;0,16;15,5;7,2;0
Canneberge ou cranberry, crue;-;-;0,75;7,6;0,13;4,04;3,28;0
Pomme Granny Smith, pulpe, crue;227;53,9;< 0,5;11,4;< 0,5;10,6;1,9;0
Pomme Granny Smith, pulpe et peau, crue;217;51,5;< 0,5;10,7;< 0,5;10,1;1,6;0
Citron, zeste, cru;-;-;1,38;5,4;0,3;4,17;-;0
Sureau, baie, crue;-;-;0,64;11,4;0,5;-;3,15;0
Myrtille, surgelée, crue;-;-;0,68;8,9;0,43;8,9;-;0
Salade de fruits, crue;-;-;0,5;11,4;0,15;11,2;-;0
Framboise, surgelée, crue;-;-;1,16;6,43;0,8;6,03;0,75;0
Nectarine ou brugnon, jaune, pulpe et peau, crue;218;51,3;0,69;11,3;< 0,5;8,8;1;0
Nectarine ou brugnon, blanche, pulpe et peau, crue;220;51,8;0,81;11,4;< 0,5;8,9;1,1;0
Mûre (de ronce), surgelée, crue;-;-;1,22;10,7;0,42;-;-;0
Pomelo (dit Pamplemousse) jaune, pulpe, cru;-;-;0,69;7,31;0,1;7,31;1,59;0
Pomelo (dit Pamplemousse) rose, pulpe, cru;-;-;0,77;6,2;0,14;6,2;1,45;0
Poire Conférence, pulpe, crue;223;53,1;< 0,5;11,4;< 0,5;9,4;1,2;0
Poire Williams, pulpe, crue;228;54,1;< 0,5;11,5;< 0,5;9,4;1;0
Pomme Chantecler, pulpe, crue;219;51,8;< 0,5;11,2;< 0,5;10,8;1,3;0
Pomme Gala, pulpe, crue;230;54,5;< 0,5;11,9;< 0,5;11,1;1,1;0
Pomme Pink lady, pulpe, crue;254;60,1;< 0,5;12,8;< 0,5;12,3;1,1;0
Pêche blanche, pulpe et peau, crue;199;47,2;0,69;9,48;< 0,5;8,7;0,8;0
Pêche blanche, pulpe, crue;195;46,1;0,63;9,63;< 0,5;7,8;0,7;0
Pêche jaune, pulpe, crue;196;46,3;0,69;9,8;< 0,5;7,6;0,9;0
Dourian, pulpe, cru;-;-;1,47;23,3;5,33;-;-;0
Kumquat, sans pépin, cru;-;-;1,57;9,6;1,18;9,36;2,2;0
Longan, pulpe, cru;-;-;1,31;14;0,1;-;-;0
Pamplemousse chinois, pulpe, cru;-;-;0,76;8,62;0,04;-;-;0
Pomme Golden, pulpe et peau, crue;242;57,1;< 0,5;12,8;< 0,5;11,5;1,4;0
Raisin noir Muscat, cru;381;90,1;0,69;20;< 0,5;19,6;9,8;0
Melon miel ou melon honeydew, pulpe, cru;-;-;0,58;4,3;0,17;4,3;1,38;0
Fruits rouges, crus (framboises, fraises, groseilles, cassis);-;-;1,11;7,88;0,31;7,4;3,48;0
Fruit cru (aliment moyen);251;59,5;0,7;11,6;0,26;9,89;2,61;0
Compote de pomme;432;102;0,23;24,4;0,21;20,7;5,35;0
Rhubarbe, tige, cuite, sucrée;-;-;0,39;29,2;0,05;28,7;-;0
Compote, tout type de fruits;434;102;< 0,5;23,9;0,092;23,1;6,07;0
Compote, tout type de fruits, allégée en sucres;279;66;< 0,5;15,3;0,08;14,6;3,32;0
Chayote ou christophine ou chouchou, crue;-;-;0,72;2,8;0,12;1,66;-;0
Compote, tout type de fruits, allégée en sucres, rayon frais;-;-;0,32;14,9;0,48;14,3;3,1;0
Compote de pomme, allégée en sucres;276;65,1;< 0,5;15,1;0,08;14,3;3,01;0
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);-;-;0,32;19,5;0,2;16,6;3,58;0
Purée de fruits, tout type de fruits, type 'compote sans sucres ajoutés';249;58,9;< 0,5;13,4;< 0,3;11,3;3;0
Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient);-;-;0,41;16,9;0,56;15,8;2,7;0
Pomme, pulpe, rôtie/cuite au four;-;-;< 0,5;21;< 0,5;17,5;3,3;0
Pomme, pulpe, bouillie/cuite à l'eau;-;-;0,26;11,2;0,36;11;-;0
Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen);340;80,1;0,25;18,6;0,15;16,7;4,25;0
Purée de pommes, type 'compote sans sucres ajoutés';239;56,4;1,13;11,7;< 0,3;11,7;2,79;0
Coulis de fruits rouges (framboises, fraises, groseilles, cassis);-;-;0,8;25,1;0,54;25,1;5,17;0
Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);;;0,5;16,2;0,25;15,3;7,1;0
Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);;;0,25;16,2;0,25;13,2;5,42;0
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;-;-;< 0,5;17,4;< 0,5;13,8;5,7;0
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;-;-;< 0,5;18,3;< 0,5;14,3;5,98;0
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;-;-;< 0,5;14,4;< 0,5;12,2;5;0
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;-;-;< 0,5;14,5;0,061;12,3;5,12;0
Abricot au sirop léger, appertisé, égoutté;-;-;0,94;13,7;< 0,5;13,3;4,09;0
Abricot au sirop léger, appertisé, non égoutté;-;-;0,81;14;0,043;14;4,21;0
Abricot au sirop, appertisé, égoutté;-;-;0,5;16,2;< 0,5;15,3;7,1;0
Abricot au sirop, appertisé, non égoutté;-;-;0,29;16,6;< 0,5;15,1;7,06;0
Ananas au jus d'ananas, égoutté, appertisé;-;-;< 0,5;13,6;< 0,5;12,8;4,07;0
Ananas au jus d'ananas, appertisé, non égoutté;-;-;< 0,5;13,6;< 0,5;12,6;4,03;0
Ananas au sirop léger, appertisé, égoutté;-;-;< 0,5;15,9;< 0,5;15,9;5,79;0
Ananas au sirop léger, appertisé, non égoutté;-;-;< 0,5;16;0,078;15,7;5,78;0
Pêche au sirop léger, appertisée, égouttée;-;-;0,5;13,8;< 0,5;13,1;4,5;0
Pêche au sirop léger, appertisée, non égouttée;-;-;0,31;14,1;0,038;12,9;4,46;0
Poire au sirop léger, appertisée, égouttée;274;64,9;< 0,5;13,9;0,4;11,5;3,67;0
Poire au sirop léger, appertisée, non égouttée;-;-;0,3;14,5;0,12;12,1;4,4;0
Abricot, dénoyauté, sec;1010;239;2,88;59,1;0,5;34,3;16;0
Datte, pulpe et peau, sèche;-;-;1,81;64,7;0,25;64,7;32,8;0
Figue, sèche;-;-;2,99;54,3;0,87;49,2;25;0
Pruneau, sec;969;229;1,63;55,4;0,4;38,1;25,5;0
Raisin, sec;1360;321;3;73,2;0,9;70,3;34;0
Mélange apéritif de fruits exotiques, sec;1640;389;2,19;69,5;10,5;59,4;21,6;0
Banane, pulpe, sèche;-;-;3,89;78,4;1,81;47,3;-;0
Pomme, sèche;-;-;0,78;57,2;0,31;54,6;-;0
Pêche, sèche;-;-;5;68,9;1;-;6,1;0
Canneberge ou cranberry, séchée, sucrée;1410;333;< 0,5;76,4;1;72,8;32;0
Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);846;200;2,31;51,1;0,4;29,9;14,9;0
Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;-;-;0,28;13,3;0,1;7,3;1,2;0
Abricot pays, pulpe, cru, prélevé à la Martinique;-;-;0,48;10,8;0,05;3,7;1,5;0
Ananas, pulpe, cru , prélevé à la Martinique;-;-;0,56;-;0;-;-;0
Caïmite, pulpe, cru, prélevé à la Martinique;-;-;0,31;-;2,87;-;-;0
Cerise acérola, pulpe, crue, prélevée à la Martinique;-;-;0,56;-;0,097;-;-;0
Chadèque, pulpe, cru, prélevé à la Martinique;-;-;0,48;-;0,3;-;-;0
Chips d'abricot pays, pulpe, prélevé à la Martinique;-;-;0,96;68,7;18,7;33,3;4,47;0
Goyave, pulpe, purée, prélevée à la Martinique;-;-;0,83;-;0,0067;-;-;0
Jus de carambole, prélevé à la Martinique, jus filtré;-;-;4,52;-;0,15;-;-;0
Jus de carambole, prélevée à la Martinique, jus non filtré;-;-;0,063;-;0,03;-;-;0
Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;-;-;0,48;-;0,14;-;-;0
Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;-;-;0,69;-;0,46;-;-;0
Jus de corossol, prélevé à la Martinique;-;-;0,65;-;0,43;-;-;0
Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;-;-;1,08;-;0,37;-;-;0
Jus de grenade, prélevée à la Martinique;-;-;0,69;-;0;-;-;0
Jus de lime, pur jus, prélevé à la Martinique;-;-;0,35;-;0,57;-;-;0
Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;-;-;-;-;-;9,4;2;0
Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;-;-;0,61;8,63;0,57;8,63;1,87;0
Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;-;-;0,6;10,8;0;3,87;0,63;0
Jus de moubin, pur jus, prélevé à la Martinique;-;-;0,88;-;0,19;-;-;0
Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;-;-;0,42;-;0,19;-;-;0
Jus de prune de cythère verte 'géante' (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique;-;-;0,29;7,13;0,19;4,34;0,65;0
Jus de prune de cythère verte 'géante' (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique;-;-;0,44;6,55;0,28;0,03;0,006;0
Jus de prune de cythère verte 'naine' (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique;-;-;0,69;9,97;0,21;6,14;2,27;0
Jus de prune de cythère verte 'naine' (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique;-;-;0,67;6,34;0,26;0,19;0,16;0
Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;-;-;-;-;-;17,4;3,83;0
Mango bassignac, pulpe, cru, prélevé à la Martinique;-;-;0,32;18,5;traces;-;-;0
Mango moussache, pulpe, cru, prélevé à la Martinique;-;-;1,28;20,9;traces;-;-;0
Mangue julie, pulpe, crue, prélevée à la Martinique;-;-;0,71;18,3;traces;-;-;0
Mangue verte, pulpe, crue, prélevée à la Martinique;-;-;1,31;12,2;traces;-;-;0
Melon, pulpe, cru, prélevé à la Martinique;-;-;1,08;-;0,047;-;-;0
Orange (variété locale), pulpe, prélevée à la Martinique;-;-;0,6;-;0,67;-;-;0
Orange amère, pulpe, crue, prélevée à la Martinique;-;-;0,73;-;0,43;-;-;0
Pastèque, pulpe, crue, prélevée à la Martinique;-;-;0,77;-;0,26;-;-;0
Pomme cajou, pulpe, crue, prélevée à la Martinique;-;-;0,79;-;0,11;-;-;0
Pomme cannelle,  pulpe, crue, prélevée à la Martinique;-;-;1,48;-;0,57;-;-;0
Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;-;-;0,44;-;0,023;-;-;0
Pomme liane, pulpe, crue, prélevée à la Martinique;-;-;0,88;-;0,22;-;-;0
Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;-;-;0,54;-;0,03;-;-;0
Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;-;-;0,6;-;0,07;-;-;0
Jacques, pulpe, cru, prélevé à la Martinique;-;-;1,98;-;0,21;-;-;0
Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.);376;88,8;0,75;19,3;0,5;18,4;3,2;0
Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen);304;71,8;0,94;15,1;< 0,3;14,9;2,5;0
Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.);169;40;0,56;7,88;< 0,3;7,7;4,1;0
Farine de châtaigne;-;-;6,1;70,4;3,43;-;-;0
Amande (avec peau);-;-;22,6;9,51;51,3;4,2;0,2;0
Cacahuète ou Arachide;-;-;26,1;14,8;49,1;5,9;< 0,2;0
Cacahuète, grillée, salée;-;-;26,2;15;50;4,22;0,068;0
Noisette;-;-;17;7,16;56,9;4,9;0,3;0
Noix, séchée, cerneaux;-;-;15,7;6,88;67,3;3;0,2;0
Noix de coco, amande mûre, fraîche;-;-;3,93;6,22;33,5;6,22;-;0
Noix de coco, amande, sèche;-;-;7,8;8,55;66,3;6,64;0,3;0
Noix du Brésil;-;-;16,9;6,17;66,1;2,33;0;0
Pistache, grillée, salée;-;-;22,3;15,9;49,5;7,57;0,16;0
Sésame, graine;-;-;20,8;9,85;49,7;0,3;-;0
Tournesol, graine;-;-;25,1;10,1;55,5;2,62;-;0
Crème de marrons;-;-;1,51;55;0,67;-;0,4;0
Noix de coco, amande immature, fraîche;-;-;3,93;6,22;33,5;6,22;-;0
Crème de marrons vanillée, appertisée;-;-;1,13;59,8;0,7;43;3,33;0
Mélange apéritif de graines salées et raisins secs;2330;560;19,6;27,1;39,6;21,6;8,5;0
Noix de cajou, grillée, salée;-;-;18;26,7;49,5;8,01;0,08;0
Châtaigne, bouillie/cuite à l'eau;-;-;2,36;23;1,38;-;0;0
Châtaigne, grillée;-;-;3,74;47,9;2,2;10,6;0;0
Noix, fraîche;-;-;12,9;9,94;31,8;1,3;0,6;0
Châtaigne, crue;-;-;2,13;36,5;2,23;7,86;-;0
Pignon de pin;-;-;16,2;6,31;65;5,21;0,12;0
Noix de pécan;-;-;11,3;5,43;72,6;3,64;0,04;0
Noix de macadamia;-;-;9,33;5,22;75,8;4,24;0,065;0
Cucurbitacées, graine;-;-;35,6;4,71;49,1;1,4;0,13;0
Luzerne, graine germée;-;-;3,87;0,91;0,7;0,2;0,08;0
Luzerne, graine;-;-;35;39,3;12,6;-;-;0
Noisette grillée;-;-;17;5,21;66;4,26;0,061;0
Lin, graine;-;-;23,9;6,6;36,6;1,55;0,4;0
Sésame, graine décortiquée;-;-;24,9;4,5;56,1;0,48;0,1;0
Cacahuète, grillée à sec, salée;-;-;24,8;18,2;47,7;3,7;< 0,1;0
Sésame, grillé, graine décortiquée;-;-;20;9,14;48;0,48;-;0
Châtaigne ou Marron, appertisé;-;-;2,31;28,8;1,4;3,9;< 0,5;0
Amande, mondée, émondée ou blanchie;-;-;25,8;8,76;52,5;4,63;0,03;0
Amande, grillée, salée;-;-;24,1;8,72;53,9;4,86;0,01;0
Noix de macadamia, grillée, salée;-;-;8,3;9,95;70,2;4,4;0,07;0
Pistache, grillée;-;-;21,7;18,6;47,4;7,74;0,26;0
Tournesol, graine, grillé, salé;-;-;22,8;15,1;49,8;2,73;0,03;0
Noix de pécan, salées;-;-;12;5;73;4,9;-;0
Chia, graine, séchée;-;-;19,5;7,72;30,7;-;-;0
Mélange apéritif de graines (non salées) et fruits séchés;-;-;9,78;32,2;26,3;7;-;0
Mélange apéritif de graines (non salées) et raisins secs;2250;541;14,8;31,8;37,2;29,4;14,2;0
Noisette grillée, salée;-;-;15,8;7,67;61,2;2,91;-;0
Lin, brun, graine;-;-;21,3;3,56;42,2;1,4;0,3;0
Cacahuète, grillée, sans sel ajouté;-;-;26,8;11,3;51,9;2,54;0;0
Noix de cajou, grillée, non salée;2560;618;20,5;21,3;48,1;6,64;< 0,1;0
Noix de cajou, grillée à sec, non salée;2610;630;20,5;23,5;49;6,63;< 0,1;0
Pâte d'amande, préemballée;1820;432;7;70,3;13,5;60,1;5,52;0
Beurre de cacahuète ou Pâte d'arachide;-;-;25,4;16,1;52,5;10,5;0,13;0
Tahin ou Purée de sésame;-;-;20,3;13,8;53,4;0,49;-;0
Arachide, bouillie/cuite à l'eau, salée;-;-;15,5;9,54;22;2,47;-;0
Soja, graine entière;1810;432;37,8;20,8;19,2;7,33;-;0
Blé dur précuit, grains entiers, cuit, non salé;630;149;5,94;27,4;0,9;traces;< 0,2;0
Nouilles asiatiques cuites, aromatisées;616;147;5,12;18,8;4,3;2;0,7;0
Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées;690;165;3,75;21,4;6,9;-;-;0
Riz complet, cuit, non salé;668;158;3,38;32,6;1;< 0,2;< 0,2;0
Riz blanc, cuit, non salé;615;145;3,06;31,8;0,41;< 0,2;< 0,2;0
Riz blanc étuvé, cuit, non salé;621;146;3,1;31,7;0,56;0,11;0,01;0
Riz rouge, cuit, non salé;598;141;3,63;28,2;0,69;-;< 0,5;0
Riz sauvage, cuit, non salé;430;102;3,99;19,7;0,34;0,73;0,2;0
Riz thaï, cuit, non salé;605;143;3,06;30,5;0,7;traces;< 0,2;0
Riz basmati, cuit, non salé;495;117;2,88;24,4;0,6;traces;< 0,2;0
Flocons d'avoine, bouillis/cuits à l'eau;318;75,5;2,72;11,9;1,52;0,27;0;0
Orge perlée, bouilli/cuite à l'eau, non salée;503;119;2,42;24,4;0,44;0,28;-;0
Mil, cuit, non salé;492;116;3,76;22,4;1;0,13;-;0
Quinoa, bouilli/cuit à l'eau, non salé;631;149;5;27,9;1,1;0,87;< 0,1;0
Polenta ou semoule de maïs, cuite, non salée;328;77,5;1,38;16,9;< 0,3;0,1;< 0,1;0
Graine de couscous (semoule de blé dur précuite), cuite, non salée;667;157;5;31;1;1,6;< 0,2;0
Boulgour de blé, cuit, non salé;471;111;4;21,7;0,5;traces;< 0,2;0
Pâtes sèches standard, cuites, non salées;535;126;4,38;25;0,55;0,6;< 0,2;0
Pâtes fraîches, aux oeufs, cuites, non salées;712;168;6,31;32;1,3;-;< 0,5;0
Pâtes sèches, aux oeufs, cuites, non salées;566;134;4,94;23;2;0,8;< 0,2;0
Pâtes sèches, sans gluten, cuites, non salées;690;163;3,25;34,4;1,1;0,49;0,19;0
Pâtes sèches, au blé complet, cuites, non salées;541;128;4,88;23,4;0,9;0,6;< 0,2;0
Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées;720;170;3,38;36,6;0,8;traces;< 0,1;0
Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées;709;168;12,6;25,1;0,8;1,03;0,45;0
Vermicelle de riz, cuite, non salée;379;89,3;1,5;20,1;< 0,5;< 0,2;< 0,2;0
Vermicelle de soja, cuite, non salée;260;61,2;< 0,63;14,4;0,1;-;< 0,5;0
Gnocchi à la semoule, cuit;783;185;5,6;34,4;2,4;0,2;-;0
Gnocchi à la pomme de terre, cuit;748;177;5,01;33,6;2,05;1,1;< 0,2;0
Gnocchi, cuit (aliment moyen);766;181;6,34;34;7,88;0,65;;0
Frik (blé dur immature concassé), cuit, non salé;321;76;2,19;14;0,48;-;< 0,5;0
Épeautre, cru;1450;344;15,6;59,5;2,43;6,68;0,82;0
Blé de Khorasan, cru;1440;342;15,6;59,5;2,13;7,74;0,61;0
Blé tendre entier ou froment, cru;-;-;-;-;-;-;-;0
Blé germé, cru;897;211;8,03;41,4;1,27;-;-;0
Blé dur entier, cru;1450;343;13;62,4;2,24;3,17;0;0
Blé dur précuit, entier, cru;1520;359;14,7;67,7;1,83;0,83;0;0
Riz blanc, cru;1490;352;7,4;78;0,91;0,16;< 0,1;0
Riz blanc étuvé, cru;1510;356;7,47;78,6;0,98;0,4;0,11;0
Riz complet, cru;1480;350;7,38;71,4;2,8;0,66;< 0,5;0
Riz sauvage, cru;1460;344;11,7;69,2;0,94;2,5;< 0,5;0
Riz rouge, cru;1490;352;8,38;70,6;3;-;< 0,5;0
Riz thaï ou basmati, cru;1500;353;8,06;77,8;0,84;0,17;< 0,2;0
Riz thaï ou basmati, cuit, non salé;-;-;3;28,3;-;< 0,2;< 0,2;0
Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;1500;355;7,5;78,1;1;0,5;-;0
Maïs entier, cru;1460;346;8,1;67,2;3,7;1,6;-;0
Avoine, crue;1590;378;18,1;55,7;6,9;1,2;-;0
Orge entière, crue;1410;334;13,4;56,2;2,3;0,8;-;0
Orge perlée, crue;1460;346;10,6;68,6;1,16;0,8;-;0
Mil entier, cru;1520;359;11,8;64,3;4,21;-;-;0
Quinoa, cru;1510;358;14,1;58,1;6,07;-;-;0
Amarante, crue;1560;369;14,5;58,6;7,02;1,68;0,27;0
Sorgho entier, cru;1470;349;10,6;65,4;3,46;2,48;-;0
Sarrasin entier, cru;1500;356;12,9;64,6;3,55;-;-;0
Seigle entier, cru;1410;334;10,5;61;1,97;0,98;0,28;0
Semoule de blé dur, crue;1490;352;12;71,6;1,25;1;-;0
Semoule de blé dur, cuite, non salée;516;122;3,75;24;0,8;3;< 0,2;0
Mélange de céréales et légumineuses, cru;1490;354;15;59;4;4,5;-;0
Polenta ou semoule de maïs, précuite, sèche;1480;350;7,88;74;1,8;-;< 0,5;0
Graine de couscous (semoule de blé dur précuite), crue;1550;365;13,2;72,7;1,45;2,95;< 0,2;0
Boulgour de blé, cru;1490;351;12,4;66,8;1,71;0,41;0;0
